cluster	strains_with_incomplete_cluster
glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity	2
glutamate-tRNA ligase activity	2
phosphoribosyl-ATP diphosphatase activity	1
phosphatidylinositol alpha-mannosyltransferase activity	1
glycolipid 1,6-alpha-mannosyltransferase activity	1
phosphoribosylaminoimidazolecarboxamide formyltransferase activity	1
IMP cyclohydrolase activity	1
dihydroxy-acid dehydratase activity	1
transferase activity, transferring alkyl or aryl (other than methyl) groups	1
diaminopimelate decarboxylase activity	1
L-malate dehydrogenase (NAD+) activity	1
UTP:glucose-1-phosphate uridylyltransferase activity	1
large ribosomal subunit rRNA binding	1
isopentenyl-diphosphate delta-isomerase activity	1
5S rRNA binding	1
coproporphyrinogen oxidase activity	1
ferrochelatase activity	1
3-isopropylmalate dehydrogenase activity	1
D-alanine-D-alanine ligase activity	1
methionine adenosyltransferase activity	1
3 iron, 4 sulfur cluster binding	1
glutaminase activity	1
carbon-nitrogen ligase activity on lipid II	1
sulfite reductase (ferredoxin) activity	1
serine-tRNA ligase activity	1
lactaldehyde dehydrogenase (NAD+) activity	1
translation elongation factor activity	1
protein dimerization activity	1
bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity	1
glycine-tRNA ligase activity	1
sigma factor activity	1
phosphogluconate dehydrogenase (decarboxylating) activity	1
urocanate hydratase activity	1
fatty acyl-CoA hydrolase activity	1
unfolded protein binding	1
protein-folding chaperone binding	1
LPPG:FO 2-phospho-L-lactate transferase activity	1
3-deoxy-7-phosphoheptulonate synthase activity	1
inositol-3-phosphate synthase activity	1
acetylpyruvate hydrolase activity	1
alpha,alpha-trehalase activity	1
enzyme regulator activity	1
nucleotidyltransferase activity	1
propionyl-CoA carboxylase activity	1
peptidyl-prolyl cis-trans isomerase activity	1
glycerol-3-phosphate dehydrogenase (quinone) activity	1
phosphoglycerate dehydrogenase activity	1
damaged DNA binding	1
tryptophan synthase activity	1
transition metal ion binding	1
UDP-glucose 6-dehydrogenase activity	1
polyphosphate kinase activity	1
cAMP binding	1
aspartate-tRNA ligase activity	1
lysine-tRNA ligase activity	1
ADP binding	1
prenyltransferase activity	1
dihydropteroate synthase activity	1
